model_key,metric,indifference,neutral,diff,ci_lo,ci_hi
gpt-oss-120b,|position|,0.9416666666666668,0.9249999999999999,0.01666666666666683,-0.025000000000000022,0.06666666666666654
gpt-oss-120b,|content|,0.05833333333333331,0.07499999999999998,0.01666666666666667,-0.024999999999999994,0.06666666666666664
gpt-oss-20b,|position|,0.6083333333333334,0.48333333333333334,0.12500000000000006,0.025000000000000244,0.22500000000000003
gpt-oss-20b,|content|,0.2083333333333333,0.31666666666666665,0.10833333333333336,-0.01666666666666669,0.23333333333333334
