preference_id,self_report,pairwise,tradeoff,sequential,mean_score,dispersion,cmcs,n_methods,abs_pairwise_strength,all_same_direction
p01,-0.009999999999999976,0.0,-0.33333333333333337,0.46666666666666656,0.03083333333333331,0.21791666666666665,0.7820833333333334,4,0.0,False
p02,-0.6115,-1.0,-1.0,-0.33333333333333337,-0.7362083333333334,0.26379166666666665,0.7362083333333334,4,1.0,True
p03,-0.187,-0.19999999999999996,-0.18518518518518523,-0.06666666666666676,-0.15971296296296297,0.04652314814814812,0.9534768518518519,4,0.19999999999999996,True
p04,-0.162,0.0,0.33333333333333326,0.33333333333333326,0.12616666666666662,0.2071666666666666,0.7928333333333334,4,0.0,False
p05,0.275,-0.8,-0.33333333333333337,-0.06666666666666665,-0.23125,0.3354166666666667,0.6645833333333333,4,0.8,False
p06,-0.06000000000000001,0.0,-0.5555555555555556,-0.20000000000000007,-0.20388888888888893,0.17583333333333334,0.8241666666666667,4,0.0,True
p07,-0.031000000000000028,-0.6,-0.5555555555555556,0.19999999999999996,-0.2466388888888889,0.33113888888888887,0.6688611111111111,4,0.6,False
p08,0.10000000000000002,-0.19999999999999996,0.03703703703703698,-0.33333333333333337,-0.09907407407407408,0.16759259259259257,0.8324074074074075,4,0.19999999999999996,False
p09,0.09,0.3999999999999999,0.5555555555555556,0.19999999999999973,0.3113888888888888,0.16638888888888895,0.8336111111111111,4,0.3999999999999999,True
p10,-0.15,0.6000000000000001,0.18518518518518512,0.19999999999999973,0.20879629629629623,0.19560185185185192,0.8043981481481481,4,0.6000000000000001,False
p11,-0.27999999999999997,0.0,-0.18518518518518523,0.06666666666666687,-0.09962962962962958,0.132962962962963,0.867037037037037,4,0.0,False
p12,-0.1125,-0.19999999999999996,0.03703703703703698,-0.4666666666666667,-0.1855324074074074,0.14780092592592592,0.8521990740740741,4,0.19999999999999996,True
