preference_id,self_report,pairwise,tradeoff,mean_score,dispersion,cmcs,n_methods,abs_pairwise_strength,all_same_direction
p01,0.0,0.3999999999999999,0.11111111111111116,0.17037037037037037,0.15308641975308637,0.8277777777777778,3,0.3999999999999999,True
p02,-0.38,-1.0,-0.9259259259259259,-0.768641975308642,0.25909465020576133,0.7085185185185185,3,1.0,True
p03,-0.039999999999999994,0.6000000000000001,-0.03703703703703709,0.174320987654321,0.28378600823045275,0.6807407407407406,3,0.6000000000000001,True
p04,0.51,0.6000000000000001,0.7037037037037037,0.6045679012345679,0.06609053497942385,0.9256481481481482,3,0.6000000000000001,True
p05,0.36,0.8,0.5555555555555554,0.5718518518518518,0.15209876543209885,0.8288888888888888,3,0.8,True
p06,0.73,1.0,0.4814814814814814,0.7371604938271604,0.17522633744855967,0.8028703703703703,3,1.0,True
p07,-0.33,-1.0,-0.6296296296296297,-0.6532098765432099,0.23119341563786008,0.7399074074074075,3,1.0,True
p08,0.1,0.0,0.2592592592592591,0.11975308641975302,0.09300411522633738,0.8953703703703705,3,0.0,True
p09,0.51,1.0,0.9259259259259258,0.8119753086419753,0.2013168724279835,0.7735185185185185,3,1.0,True
p10,-0.09,0.19999999999999996,-0.11111111111111116,-0.0003703703703704005,0.13358024691358025,0.8497222222222223,3,0.19999999999999996,False
p11,0.5399999999999999,1.0,1.0,0.8466666666666667,0.20444444444444446,0.77,3,1.0,True
