model_key,phrasing,overall_avoid_rate,n,p_vs_no_effect,gradedness_spearman_rho
llama31-8b,v1_parenthetical,0.7,30,0.021386972628533847,0.21081851067789192
llama31-8b,v2_explicit,0.6666666666666666,30,0.049368573352694525,0.8944271909999157
llama31-8b,v3_turns,0.6666666666666666,30,0.049368573352694525,0.39999999999999997
qwen25-7b,v1_parenthetical,0.5666666666666667,30,0.2923323558643461,0.22360679774997894
qwen25-7b,v2_explicit,0.4666666666666667,30,0.707667644135654,0.5270462766947299
qwen25-7b,v3_turns,0.4666666666666667,30,0.707667644135654,-0.20519567041703082
