preference_id,self_report,pairwise,tradeoff,sequential,mean_score,dispersion,cmcs,n_methods,abs_pairwise_strength,all_same_direction
p01,-0.08,-0.4,0.2592592592592591,0.19999999999999973,-0.0051851851851853065,0.2348148148148147,0.7651851851851853,4,0.4,False
p02,-0.7,0.3999999999999999,-0.2592592592592592,0.19999999999999996,-0.08981481481481482,0.3898148148148147,0.6101851851851853,4,0.3999999999999999,False
p03,-0.11000000000000001,-0.19999999999999996,0.03703703703703698,0.46666666666666656,0.0484259259259259,0.20912037037037035,0.7908796296296297,4,0.19999999999999996,False
p04,-0.1,-0.4,0.18518518518518512,0.06666666666666665,-0.06203703703703706,0.18796296296296294,0.8120370370370371,4,0.4,False
p05,-0.8,-0.4,-0.11111111111111116,-0.6,-0.47777777777777786,0.2222222222222222,0.7777777777777778,4,0.4,True
p06,0.2,0.0,0.33333333333333326,-0.06666666666666676,0.11666666666666661,0.15,0.85,4,0.0,False
p07,-0.4,0.6000000000000001,-0.03703703703703709,-0.06666666666666676,0.024074074074074053,0.287962962962963,0.712037037037037,4,0.6000000000000001,False
p08,0.16999999999999998,0.19999999999999996,0.11111111111111094,0.06666666666666665,0.13694444444444437,0.04805555555555559,0.9519444444444444,4,0.19999999999999996,True
p09,0.3,-0.19999999999999996,-0.2592592592592592,-0.20000000000000007,-0.0898148148148148,0.1949074074074074,0.8050925925925926,4,0.19999999999999996,False
p10,-0.2,0.0,0.03703703703703698,-0.20000000000000007,-0.09074074074074077,0.10925925925925926,0.8907407407407407,4,0.0,True
p11,-0.42000000000000004,0.19999999999999996,-0.33333333333333337,-0.33333333333333337,-0.2216666666666667,0.21083333333333334,0.7891666666666667,4,0.19999999999999996,False
p12,-0.2,-0.4,-0.03703703703703709,0.19999999999999996,-0.1092592592592593,0.1907407407407407,0.8092592592592593,4,0.4,False
